USER           PID  PPID     VSZ    RSS WCHAN            ADDR S NAME            
root             1     0 11030708  6740 0                   0 S init
root             2     0       0      0 0                   0 S [kthreadd]
root             3     2       0      0 0                   0 I [rcu_gp]
root             4     2       0      0 0                   0 I [netns]
root             6     2       0      0 0                   0 I [kworker/0:0H-e+
root             8     2       0      0 0                   0 I [mm_percpu_wq]
root            10     2       0      0 0                   0 S [rcu_tasks_kthr+
root            11     2       0      0 0                   0 S [rcu_tasks_trac+
root            12     2       0      0 0                   0 S [ksoftirqd/0]
root            13     2       0      0 0                   0 I [rcu_preempt]
root            14     2       0      0 0                   0 S [rcub/0]
root            15     2       0      0 0                   0 S [rcuc/0]
root            16     2       0      0 0                   0 S [rcu_exp_gp_kth+
root            17     2       0      0 0                   0 S [rcu_exp_par_gp+
root            18     2       0      0 0                   0 S [migration/0]
root            20     2       0      0 0                   0 S [cpuhp/0]
root            21     2       0      0 0                   0 S [cpuhp/1]
root            22     2       0      0 0                   0 S [migration/1]
root            23     2       0      0 0                   0 S [rcuc/1]
root            24     2       0      0 0                   0 S [ksoftirqd/1]
root            25     2       0      0 0                   0 I [kworker/1:0-vi+
root            26     2       0      0 0                   0 I [kworker/1:0H-k+
root            27     2       0      0 0                   0 S [cpuhp/2]
root            28     2       0      0 0                   0 S [migration/2]
root            29     2       0      0 0                   0 S [rcuc/2]
root            30     2       0      0 0                   0 S [ksoftirqd/2]
root            32     2       0      0 0                   0 I [kworker/2:0H-e+
root            33     2       0      0 0                   0 S [cpuhp/3]
root            34     2       0      0 0                   0 S [migration/3]
root            35     2       0      0 0                   0 S [rcuc/3]
root            36     2       0      0 0                   0 S [ksoftirqd/3]
root            38     2       0      0 0                   0 I [kworker/3:0H-k+
root            39     2       0      0 0                   0 I [inet_frag_wq]
root            43     2       0      0 0                   0 S [kauditd]
root            44     2       0      0 0                   0 S [khungtaskd]
root            45     2       0      0 0                   0 S [oom_reaper]
root            46     2       0      0 0                   0 I [writeback]
root            47     2       0      0 0                   0 S [kcompactd0]
root            48     2       0      0 0                   0 S [khugepaged]
root            98     2       0      0 0                   0 I [kblockd]
root            99     2       0      0 0                   0 I [blkcg_punt_bio]
root           100     2       0      0 0                   0 I [edac-poller]
root           101     2       0      0 0                   0 I [devfreq_wq]
root           102     2       0      0 0                   0 S [watchdogd]
root           103     2       0      0 0                   0 I [kworker/2:1H-k+
root           129     2       0      0 0                   0 S [kswapd0]
root           132     2       0      0 0                   0 S [dmabuf-deferre+
root           133     2       0      0 0                   0 I [uas]
root           134     2       0      0 0                   0 I [dm_bufio_cache]
root           135     2       0      0 0                   0 I [mld]
root           136     2       0      0 0                   0 I [ipv6_addrconf]
root           137     2       0      0 0                   0 S [krfcommd]
root           143     2       0      0 0                   0 I [kworker/0:1H-k+
root           144     2       0      0 0                   0 I [cfg80211]
root           145     2       0      0 0                   0 S [sugov:0]
root           146     2       0      0 0                   0 S [sugov:1]
root           147     2       0      0 0                   0 S [sugov:2]
root           148     2       0      0 0                   0 S [sugov:3]
root           150     2       0      0 0                   0 S [irq/46-goldfis+
root           151     2       0      0 0                   0 I [usbip_event]
root           153     2       0      0 0                   0 S [hwrng]
root           154     2       0      0 0                   0 S [khvcd]
root           155     2       0      0 0                   0 S [card0-crtc0]
root           156     2       0      0 0                   0 I [kworker/3:1H-k+
root           160     2       0      0 0                   0 S [jbd2/vdd1-8]
root           161     2       0      0 0                   0 I [ext4-rsv-conve+
root           162     2       0      0 0                   0 I [kdmflush]
root           163     2       0      0 0                   0 I [kdmflush]
root           164     2       0      0 0                   0 I [kdmflush]
root           165     2       0      0 0                   0 I [kdmflush]
root           166     2       0      0 0                   0 I [ext4-rsv-conve+
root           167     2       0      0 0                   0 I [ext4-rsv-conve+
root           168     2       0      0 0                   0 I [ext4-rsv-conve+
root           169     2       0      0 0                   0 I [ext4-rsv-conve+
root           171     1 10929180  2576 0                   0 S init
root           173     1 10886404  4496 0                   0 S ueventd
root           180     2       0      0 0                   0 I [kworker/1:1H-k+
root           181     2       0      0 0                   0 I [kdmflush]
